1,p1,242.79
2,p2,565.16
3,p3,134.93
4,p4,770.75
5,p5,388.84
6,p6,486.04
7,p7,612.28
8,p8,941.16
9,p9,94.79
10,p10,80.22
11,p11,807.36
12,p12,327.2
13,p13,207.34
14,p14,42.4
15,p15,570.08
16,p16,720.69
17,p17,294.84
18,p18,164.12
19,p19,565.87
20,p20,805.66
21,p21,947.17
22,p22,807.08
23,p23,439.85
24,p24,281.91
25,p25,981.82
26,p26,609.24
27,p27,43.85
28,p28,464.37
29,p29,102.89
30,p30,373.05
31,p31,896.89
32,p32,155.46
33,p33,100.83
34,p34,918.04
35,p35,636.96
36,p36,105.08
37,p37,393.94
38,p38,711.18
39,p39,252.44
40,p40,511.71
41,p41,940.27
42,p42,767.76
43,p43,968.15
44,p44,825.33
45,p45,9.26
46,p46,416.96
47,p47,63.21
48,p48,315.3
49,p49,736.59
50,p50,972.58
51,p51,976
52,p52,426.55
53,p53,8.44
54,p54,666.43
55,p55,83.34
56,p56,570.69
57,p57,757.03
58,p58,694.74
59,p59,587.71
60,p60,535.48
61,p61,531.7
62,p62,235.53
63,p63,556.52
64,p64,176.16
65,p65,571.4
66,p66,29.28
67,p67,895.45
68,p68,490.39
69,p69,925.36
70,p70,41.79
71,p71,784.96
72,p72,830.89
73,p73,127.11
74,p74,47.38
75,p75,716.86
76,p76,99.83
77,p77,443.23
78,p78,342.83
79,p79,457.15
80,p80,650.87
81,p81,305.75
82,p82,18.43
83,p83,668.89
84,p84,797.45
85,p85,849.47
86,p86,102.41
87,p87,495.97
88,p88,523.33
89,p89,29.02
90,p90,159.05
91,p91,398
92,p92,792.12
93,p93,772.77
94,p94,574.49
95,p95,677.09
96,p96,643.16
97,p97,855.61
98,p98,992.24
99,p99,379.41
100,p100,514.49
101,p101,228.75
102,p102,855.95
103,p103,624.01
104,p104,600.27
105,p105,357.61
106,p106,112.39
107,p107,456.58
108,p108,651.63
109,p109,687.72
110,p110,420.74
111,p111,259.77
112,p112,975.74
113,p113,107.52
114,p114,529.98
115,p115,533.15
116,p116,785.43
117,p117,823.22
118,p118,131.39
119,p119,422.14
120,p120,794.64
121,p121,891.97
122,p122,505.27
123,p123,312.88
124,p124,671.58
125,p125,429.59
126,p126,717.51
127,p127,616.86
128,p128,915.72
129,p129,754.93
130,p130,677.57
131,p131,613.07
132,p132,726.79
133,p133,367.28
134,p134,30.57
135,p135,940.43
136,p136,719.7
137,p137,139.6
138,p138,663.68
139,p139,307.83
